District Name,District Code,Total # of Classes,Average Class Size,Number of Students,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %"
Old Sturbridge Academy Charter Public School (District),35150000,7,40,280,4.6,0.7,13.2,80.4,0,0,1.1
Orange,2230000,153,15.4,472,1.3,0.6,8.5,84.5,0.2,0,4.9
Orleans,2240000,190,10.9,174,4,1.2,10.9,78.7,0.6,0,4.6
Oxford,2260000,622,16.5,"1,488",2.4,1.1,12.8,79.1,0.1,0.1,4.2
Palmer,2270000,985,14.7,"1,208",3.7,2.5,13.3,75.9,0.1,0,4.5
Pathfinder Regional Vocational Technical,8600000,548,11.3,602,0.7,0,4.2,92.2,0,0,3
Paulo Freire Social Justice Charter School (District),35010000,184,15.1,250,10,0.4,86.8,2.4,0,0.4,0
Peabody,2290000,"2,964",16.4,"5,813",3.8,2.1,19.4,72.5,0.2,0,2
Pelham,2300000,43,13.9,102,3.9,4.9,12.8,72.6,0,0,5.9
Pembroke,2310000,"1,195",16.9,"2,620",0.5,1,1.9,94,0.1,0,2.5
Pentucket,7450000,"1,226",16.3,"2,191",0.4,1.2,6,89.9,0.1,0,2.5
Petersham,2340000,49,15.9,121,0,0,8.3,88.4,0,0,3.3
Phoenix Academy Public Charter High School Lawrence (District),35180000,46,6.5,156,0.6,0,90.4,7.7,1.3,0,0
Phoenix Academy Public Charter High School Springfield (District),35080000,12,61.9,201,13.4,0.5,76.6,6,0.5,0.5,2.5
Phoenix Charter Academy (District),4930000,30,37.1,216,11.1,0,83.8,3.2,1.4,0,0.5
Pioneer Charter School of Science (District),4940000,344,19.2,801,24.6,6.4,28.8,36.2,1.5,0,2.5
Pioneer Charter School of Science II (PCSS-II) (District),35060000,155,18.4,360,36.4,13.1,25.6,22.2,0.6,0,2.2
Pioneer Valley,7500000,406,12.1,631,0.6,0.6,1.9,92.1,0.2,0.5,4.1
Pioneer Valley Chinese Immersion Charter (District),4970000,308,17.5,558,10.4,19.5,8.6,48.2,0,0.2,13.1
Pioneer Valley Performing Arts Charter Public (District),4790000,298,13.9,403,8.2,1,20.4,63,0,0.3,7.2
Pittsfield,2360000,"2,269",14,"4,967",11.8,1.3,16.5,60.4,0.3,0,9.6
Plainville,2380000,124,19.2,632,5.5,3.3,7.9,79.6,0,0,3.6
Plymouth,2390000,"5,125",15.3,"7,102",2.1,1,6.8,85,0.2,0,4.9
Plympton,2400000,111,14.7,220,0,0,2.3,96.8,0.5,0,0.5
Prospect Hill Academy Charter (District),4870000,445,18.3,"1,105",57,7.2,21,10.8,0,0.2,3.9
Provincetown,2420000,52,11.3,147,23.8,0.7,14.3,52.4,0,0,8.8
Quabbin,7530000,"1,258",14.4,"2,116",1.1,1.3,6.1,89.2,0.1,0.1,2.1
Quaboag Regional,7780000,597,14.7,"1,128",0.8,0.4,6.8,87.9,0.1,0,4.1
Quincy,2430000,"6,287",12.7,"9,515",7.3,40.3,8.5,39.7,0.2,0.3,3.7
Ralph C Mahar,7550000,548,15.3,622,1.8,1.6,7.9,84.6,0.2,0,4
Randolph,2440000,"1,078",13.6,"2,696",49.4,17.6,16.2,11.8,0.3,0.1,4.6
Reading,2460000,"1,760",16.7,"3,980",2.6,5.5,3.3,86.1,0.1,0,2.5
Revere,2480000,"4,140",15.6,"7,294",3.6,4.4,58.5,31.5,0.3,0,1.8
Richmond,2490000,113,14.7,151,1.3,0,7.3,87.4,0,0,4
Rising Tide Charter Public (District),4830000,303,20,668,0.9,1.4,3.9,85.8,1.1,0,7
River Valley Charter (District),4820000,146,11.7,286,0.4,1.4,5.6,88.1,0.4,0,4.2
